id,entry_id,rec_nut_id,nutr_val
1,1,1,4.51
2,2,1,2.82
3,3,1,2.77
4,4,1,2.11
5,5,1,1.92
6,6,1,1.72
7,7,1,1.63
8,8,1,1.4
9,9,1,1.18
10,10,1,1.15
11,11,1,1.08
12,12,1,0.86
13,13,1,0.74
14,14,1,0.71
15,15,1,0.52
16,16,1,0.5
17,17,1,0.5
18,18,1,0.5
19,19,1,0.35
20,20,1,0.32
21,21,1,0.32
22,22,1,0.31
23,23,1,0.3
24,24,1,0.25
25,25,1,0.2
26,26,1,0.18
27,27,1,0.16
28,28,2,452
29,29,2,452
30,30,2,438
31,31,2,415
32,32,2,345
33,33,2,336
34,34,2,335
35,35,2,323
36,36,2,321
37,37,2,311
38,38,2,307
39,39,2,306
40,40,2,305
41,41,2,290
42,42,2,288
43,43,2,285
44,44,2,285
45,45,2,284
46,46,2,280
47,47,2,276
48,48,2,275
49,49,2,255
50,50,2,225
51,51,2,215
52,52,2,210
53,53,2,236-1043
54,54,2,368
55,55,2,325
56,56,2,253
57,57,2,181
58,58,2,178
59,59,2,172
60,60,2,146
61,61,2,130
62,62,2,124
63,63,2,116
64,64,2,99-110
65,65,2,106
66,66,2,96
67,67,2,90
68,68,2,88
69,69,2,88
70,70,2,86
71,71,2,82
72,72,2,79
73,73,2,78
74,74,2,74
75,75,2,73
76,76,2,2.1
77,77,2,2
78,78,2,2
79,28,3,127
80,29,3,165
81,30,3,190
82,31,3,143
83,32,3,232
84,33,3,162
85,34,3,170
86,35,3,188
87,36,3,150
88,37,3,129
89,38,3,171
90,39,3,83
91,40,3,156
92,41,3,102
93,42,3,158
94,43,3,122
95,44,3,180
96,45,3,98
97,46,3,208
98,47,3,146
99,48,3,138
100,49,3,214
101,50,3,150
102,51,3,128
103,52,3,113
104,53,3,88-106
105,54,3,98
106,55,3,177
107,56,3,88
108,57,3,118
109,58,3,31
110,59,3,47
111,60,3,30
112,61,3,127
113,62,3,24
114,63,3,103
115,64,3,97-157
116,65,3,80
117,66,3,153
118,67,3,20
119,68,3,26
120,69,3,149
121,70,3,84
122,71,3,19
123,72,3,10
124,73,3,126
125,74,3,17
126,75,3,144
127,76,3,118
128,77,3,156
129,78,3,54
